text,label
新用户送的那个免邮券在租Switch主机的时候能用吗？,rule
想和朋友玩马里奥派对，这个游戏运气成分大吗？周末发货吗？,all
马里奥奥德赛适合小孩玩吗？如果卡带外壳有点磨损会扣押金吗？,all
勇者斗恶龙11S剧情是不是很传统老派？,game
最近有没有什么好玩的恐怖游戏推荐，像零红蝶那种？,game
你们有保险服务吗？额外买那种？,rule
我想租马里奥赛车8，但是我地址填错了，能不能帮我改一下或者重新下单？,all
皮克敏4通关要多久？有收集要素吗？,game
舞力全开2024里面有周杰伦的歌吗？,game
租的游戏如果包含 DLC，归还时需要删除吗，不删除会有影响吗？,rule
动物森友会现在还有人玩吗？内容多吗？,game
租借时间可以延长吗？怎么操作？,rule
异度之刃3的剧情跟前两代联系紧密吗，没玩过前作能看懂吗？,game
异度神剑3DLC结局好吗？租的游戏可以转借朋友吗？,all
客服几点下班啊？有点急事想咨询一下订单状态。,rule
马里奥RPG战斗回合制好玩吗？,game
健身环大冒险的减肥效果真的好吗，强度可以调节吗？,game
租的游戏可以转租给朋友吗？,rule
健身环强度够不够？这个配件寄回去需要原包装吗？,all
我的会员下周到期，如果我现在续费的话，在这个租期的游戏还能继续玩吗？,rule
猎天使魔女3动作流畅吗，对手残党友不友好？,game
马里奥派对超级巨星的迷你游戏好玩吗，重复率高吗？取消订单后，已经付的租金会全额退还吗？,all
平台有新人优惠吗，第一次租游戏能减租金吗？,rule
如果不小心把卡带的盒子压扁了，需要赔偿多少钱？,rule
租期到了可以续租吗，续租怎么收费？,rule
路易吉洋馆3解谜难度怎么样？,game
塞尔达传说旷野之息的 amiibo 有什么用，不用 amiibo 能通关吗？,game
异度神剑决定版战斗系统复杂吗？押金退款渠道是原路吗？,all
塞尔达传说黄昏公主 HD 的剧情评价怎么样，值得一玩吗？,game
有什么适合小孩子玩的Switch游戏推荐？,game
租游戏的最短租期是多少天，最长呢？,rule
押金退回的时候会不会扣手续费？,rule
旷野之息的DLC值得买吗，多了哪些内容？,game
有什么适合家庭聚会玩的 Switch 游戏，操作简单的那种？,game
有没有适合情侣一起玩的双人游戏，不要太难的那种？,game
快递保价吗？万一丢了怎么赔？,rule
如果我租了卡带但中途不想玩了，可以提前归还吗？规则是怎样的？,rule
你们平台评价怎么看？真实吗？,rule
健身环大冒险坚持下来真能瘦吗？收到货有问题怎么换？,all
实名认证一直过不去是怎么回事？提示身份证号错误。,rule
宝可梦剑盾DLC现在还值得玩吗？,game
